objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
blmoor01,Closing_Gap_Reward_News_Release.pdf,,,News Release Gaps Award Banquet,Dr. Beth Sewell,2006-10-30,"News release about East and West Oktibbeha schools, along with many others, receiving $5,000 for their outstanding progress. ",Award; Academics,,,,From the personal collection of Jacqueline Ellis		,,Text,application/pdf,,,
blmoor02,Legacy_Juneteenth_Ball_Flyer.jpg,,,Legacy Ball,,2023-06-17,Flyer about the Legacy Ball commemorating the 55 years of B.L. Moor,Event,,,,From the personal collection of Jacqueline Ellis,,Event; Text,image/jpeg,,,
blmoor03,Lexie_Tate.jpg,,,Lexie Tate Heisman Pose,,1976,"A picture of Lexie Tate, a senior football player, doing the heisman pose. This appears in a newspaper cutout inside the yearbook from '77.",Football,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor04,Project_Collage.jpg,,,Spring Projects,Carl Small Town Center,2004,"Picture collage of a people working on the landscape project after the B.L. Moor fire. This is the project that Jerry Rice donated $30,000 to so they could break ground.",Projects,,,,From the personal collection of Jacqueline Ellis,,Image; StillImage,image/jpeg,,,
blmoor05,CC_Schools_Summaries.pdf,,,"Survey, Oktibbeha County School District page 25",MDAH Archives,1956-05,"Description summaries of each community church school which details things such as the types of material and appliances, as well as the number teachers.",Community Church Schools; Education,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor06,2009Reunion_Cover.jpg,,,Reunion Title Page 2009,Jacqueline Ellis,2009,"The front page of the 2009 reunion program, which has an eagle and US Flag on it.",Reunion; Alumni,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor07,2015Reunion_TitlePage.jpg,,,Reunion Title Page 2015,,2015,The title page for the 2015 reunion packet,Reunion; Alumni,,,,From the personal collection of Jacqueline Ellis,,Image; Text,image/jpeg,,,
blmoor09,Alumni_Lift_School.pdf,,,Alumni group plans to lift county school,"Starkville Daily News, Ann M. Tabb",cir. 2004,"News report over the start up of the alumni organization, Educational Association of East Oktibbeha County Schools (EAEOCS), that planned to use the B.L. Moor property a multi-purposeful center of educational resources for East Oktibbeha.",Projects; EOHS; Alumni,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor10,CarlSmallTown_Funding.pdf,,,Carl Small Town Center Summary for Outdoor Classroom,Kimberly Brown,2003-2004,"A request from Carl Small Town Center to grant funding for the EOCHS outdoor classroom - this includes the purpose, goals, timeline, budget, etc. involved with the project.",Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text,application/pdf,,,
blmoor11,EOHS_Headway.pdf,,,EOHS alumni making headway with project,"Becky Wilkes, Starkville Daily News",2005-07-01,Another report covering the beginning of the projects to beautify the EOHS campus  - including comments from current students who are helping. ,Projects; EOHS,,,,From the personal collection of Jacqueline Ellis,,Text; StillImage,application/pdf,,,
